"name","country","type","filterType","isMotorized","isMechanized","isHorsed","isCarrier","isRecon","isParatrooper","isEngineers","isCavalry","isOnBoat","isDropable","isTrain","isSubmarine","isSupplyShip","isConvoy","canCarryRockets","canCarryBombs","canCarryTorpedo","isInfantry","isFootInfantry","isTransportCandidate"
"105mm model 1913","Romania","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"105mm model 1913","Spanish Republic","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"105mm Vickers M22","Spain","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"12.8 cm FlaK 40","Nazi Germany","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"120 mm Krupp howitzer M1905","Netherlands","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"120 mm Schneider-Canet M1897","Bulgaria","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"122 mm gun M1931-37","Soviet Union","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"122 mm howitzer M1910","Finland","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"122 mm M1910","Spanish Republic","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"122 mm M1910","Spain","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"15 cm sFH 13","Netherlands","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"15 cm sFH 13","Spain","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"150mm model 1934","Romania","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"150mm Type 96","Japan","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"152 mm howitzer M1910","Finland","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"152 mm M1910","Spanish Republic","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"155mm Long Tom","USA","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"17 cm Kanone 18","Nazi Germany","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 30-38","Spain","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 30-38","Nazi Germany","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 30-38","Slovakia","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 30-38","Romania","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 30-38","Bulgaria","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 38 quad","Romania","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 38 quad","Finland","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 38 quad","Slovakia","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 38 quad","Croatia","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2 cm Flak 38 quad","Nazi Germany","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"203 H17","Finland","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"20mm Breda","Turkey","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"20mm Breda","Yugoslavia","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"20mm Breda","Greece","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"20mm M33","Spanish Republic","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"20mm M33","Denmark","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"20mm M33","Communist China","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"21 cm Morser 18","Nazi Germany","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"25 mm APX mode`le 1937","Finland","Artillery","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"25mm CA mle 39","Vichy France","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"25mm CA mle 39","Manchukuo","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"25mm CA mle 39","China","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"25mm CA mle 39","Romania","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"25mm CA mle 39","France","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"3.7 cm Flak 37 single","Finland","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"3.7 cm Flak 37 single","Nazi Germany","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"3.7 cm Flak 37 single","China","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"3.7 cm Flak 37 single","Hungary","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"3.7 cm Flak 37 single","Romania","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"37 mm gun M3","USA","Artillery","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"37mm KPUV vz. 34","Slovakia","Artillery","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"38M Toldi I","Hungary","Tank","FilterTank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"39M Csaba","Hungary","Tank","FilterTank","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"3-inch M3","USA","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"3K M1938 76 mm","Soviet Union","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"4.7 cm PaK (t)","Croatia","Artillery","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"4.7 cm PaK (t)","Nazi Germany","Artillery","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"40M Nimrod","Hungary","Tank","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"40M Turan I","Hungary","Tank","FilterTank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"40mm 40M","Hungary","Artillery","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"41M Turan II","Hungary","Tank","FilterTank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"42M Toldi II","Hungary","Tank","FilterTank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"42M Toldi IIa","Hungary","Tank","FilterTank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"43M Toldi III","Hungary","Tank","FilterTank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"43M Zrinyi II","Hungary","Tank","FilterTank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"47mm Schneider","Romania","Artillery","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"52K M1939 85 mm","Soviet Union","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"57 mm Pvkan m43","Sweden","Artillery","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"57mm M1","USA","Artillery","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"61K M1939 37 mm","Soviet Union","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"65mm Mle 1906","Greece","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"7.5cm horsky kanon vz. 15","Croatia","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"72K GAZ MM","Soviet Union","Tank","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75 mm FRC M27","Belgium","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75 mm Resita Model 1943","Romania","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm M15","Yugoslavia","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm M1903","Lithuania","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm M1903","Latvia","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm M1903","Turkey","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm M1903","Estonia","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm M1A1","USA","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm model 1897","Romania","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm Schneider Mle 1897","Iran","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm Type 13 Liao","Communist China","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm Type 13 Liao","China","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"75mm Type 4","Japan","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"76 ItK29","Finland","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"76 mm divisional gun M1933","Soviet Union","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"76 mm divisional gun M1936","Soviet Union","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"76 mm divisional gun M1939","Soviet Union","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"76 mm M1902","Spain","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"76 mm M1902","Spanish Republic","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"76 mm M1927","Soviet Union","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"76.2mm M31","Spain","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"76.2mm M31","Spanish Republic","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"7TP","Poland","Tank","FilterTank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"8 cm 29M","Hungary","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"8.8 cm Flak 18","Communist China","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"8.8 cm Flak 18","Spain","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"88mm M1918","Greece","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"88mm Type 18 Liao","Communist China","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"88mm Type 18 Liao","China","Artillery","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"8cm Raketenwerfer auf Somua MCL S303 (f)","Nazi Germany","Tank","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"8-inch Mk. VI railway gun","USA","Tank","FilterArtillery","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"90mm M1A1","USA","AA","FilterAA","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Aaro Pajari","Finland","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"AB40","Italy","Tank","FilterTank","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"AB41","Italy","Tank","FilterTank","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"AB43","Italy","Tank","FilterTank","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Acciaio class submarine","Italy","Boat","FilterBoat","False","False","False","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False"
"Achilles","Great Britain","Tank","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Achilles","Canada","Tank","FilterAntitank","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Adatepe class destroyer","Turkey","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Admiral class battlecruiser","Great Britain","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Admiral Hipper class heavy cruiser","Nazi Germany","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Admiral Nakhimov class light cruiser","Soviet Union","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Admiralen class destroyer","Netherlands","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Adrian Cole","Australia","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"Adua class submarine","Italy","Boat","FilterBoat","False","False","False","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False"
"Aetos class destroyer","Greece","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Aichi D3A1","Japan","Plane","FilterCAS","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Aichi E13A","Japan","Plane","FilterFighter","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False"
"Aichi M-6A1 Seiran","Japan","Plane","FilterFighter","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","True","False","False","False"
"Aigle class destroyer","France","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Turkey","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Switzerland","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Sweden","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","British Raj","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Thailand","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Soviet Union","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Slovakia","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Saudi Arabia","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Denmark","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Estonia","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Spain","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Canada","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Communist China","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Spanish Republic","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Belgium","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Australia","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Bulgaria","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Vichy France","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Croatia","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","USA","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Manchukuo","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","China","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Yugoslavia","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Finland","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Philippines","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Hungary","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Japan","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Iraq","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Iran","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Nazi Germany","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Netherlands","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","New Zealand","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Norway","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Greece","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Mongolia","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Latvia","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Lithuania","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Italy","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Ireland","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","France","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Great Britain","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Romania","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Luxembourg","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Poland","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Airfield","Portugal","Tank","FilterBuilding","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Akagi class carrier","Japan","Boat","FilterBoat","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True"
"Akizuki class destroyer","Japan","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Alan Cunningham","Great Britain","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"Alaska class battlecruiser","USA","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Albert Kesselring","Nazi Germany","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"Aleksander Tonisson","Estonia","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"Aleksandr Vasilevsky","Soviet Union","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"Alexander Novikov","Soviet Union","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"Alexander Patch","USA","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"Alexandros Papagos","Greece","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"Alfonso class light cruiser","Spain","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Algerie class heavy cruiser","France","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Allen M Summer class destroyer","USA","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Almirante Cervera class light cruiser","Spanish Republic","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Alphonse Juin","France","Infantry","FilterInfantry","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False"
"Alsedo class destroyer","Spain","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Alsedo class destroyer","Spanish Republic","Boat","FilterBoat","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Ambrosini SAI.207","Italy","Plane","FilterFighter","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Amiot 143","France","Plane","FilterBomber","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Amiot 143","Vichy France","Plane","FilterBomber","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Amiot 354","France","Plane","FilterCAS","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Amiot 354","Vichy France","Plane","FilterCAS","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"Amphion class submarine","Great Britain","Boat","FilterBoat","False","False","False","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False"
